Händler-SKU;ASIN 1;Artikelbezeichnung;Artikelbeschreibung;Angebotsnummer;Preis;Menge;Erstellungsdatum;Produkt-ID-Typ;Anmerkung zum Artikel;Artikelzustand;Internationaler Versand;Expressversand;Produkt-ID;Anzahl Bestellungen;Versender;Standardpreis;Produktsteuerschlüssel;Nettopreis
30748;B00M9DHIR4;"Tea for One Set ""Evi""";;1207NPSGGYC;22. Sep;0;07/12/2013 10:52:00 MET;1;.;11;;;B00M9DHIR4;0;DEFAULT;;;
31121;B00EPDN6D6;Cha Cult - Tea for one Set Ben 1 Stück;;0116OKOWYZI;21. Mai;0;16/01/2014 10:05:47 MET;1;.;11;;;B00EPDN6D6;0;DEFAULT;;;
45-DFSM-1M97;B075XK74SY;bloomix Teeset Tea Time 340 ml, doppelwandiges Thermo-Teeset;;0926SEUYRTC;20. Sep;0;26/09/2017 10:49:47 MEST;4;;11;;;9120036783225;0;DEFAULT;;;
4G-3H9C-H465;B075MDD98D;Bio Creme Brulee - Grüner Tee (1000g);;1203V7TXCXL;42.5;0;03/12/2019 12:46:00 MET;1;;11;;;B075MDD98D;0;DEFAULT;;;
53031;B00HQFXJBE;Türkischer Apfeltee im Teebeutel;Original Türkischer Apfeltee aus sonnengereiften türkischen Äpfeln. So kennen Ihn die meisten Türkeiurlauber noch von Ihrem letzten Urlaub. Angenehm fruchtig mit leichter Süße. Eine Schachtel enthält 15 Teebeutel a 2g Tee.;0107O2HLIA0;Feb 75;0;07/01/2014 13:53:19 MET;4;;11;;;4004986243013;0;DEFAULT;;;
58403;B005BM66EG;Aktuell Bio Sencha, 1er Pack (1 x 500 g) - Bio;;0123MLWJP4U;15. Apr;8;23/01/2012 12:40:44 MET;1;;11;;;B005BM66EG;0;DEFAULT;;;
7K-MLLY-WBAS;B07V24FP86;Bio Früchtetee ohne Zusatz von Aroma im Kilopack - Früchtetee;Eine gelungene Früchteteemischung ohne Zusatz von Aroma aus kontrolliert biologischem Anbau im Kilopack. Bio Früchtetee ohne Zusatz von Aroma - ideal für Freunde des puren, unaromatisierten Früchtetee Geschmacks Aus kontrolliert biologischem Anbau DE-ÖKO-001. Hinweis: Die Teetasse auf dem Foto ist nicht im Lieferumfang enthalten.;0709VU6JB09;25. Sep;0;09/07/2019 12:41:49 MEST;3;;11;;;758913511587;0;DEFAULT;;;
80038;B014FH9HF2;Cha Cult Tea for One Set Jared - Keramik;;0118SJ7KAXU;18. Sep;0;18/01/2017 15:23:47 MET;1;;11;;;B014FH9HF2;0;DEFAULT;;;
80055;B01M136AZQ;"Tea for one Set ""Jesse"" Keramik, 4-teilig Kanne: 0,4 l, Tasse: 0,2 l";;0118SIHXHMC;18. Apr;0;18/01/2017 12:44:28 MET;1;.;11;;;B01M136AZQ;0;DEFAULT;;;
80068;B01LL9PZD0;"Tea for one Set ""Sao"" Keramik mit Goldauflage 4-teilig, Kanne: 0,4 l, Tasse: 0,2 l";;0118SI1LG9O;22. Sep;0;18/01/2017 10:35:35 MET;1;.;11;;;B01LL9PZD0;0;DEFAULT;;;
80230;B00OOOYII8;Tee-Adventskalender 24 Pyramidenbeutel;;0920Q30OKEC;13. Sep;0;20/09/2016 10:40:23 MEST;1;;11;;;B00OOOYII8;0;DEFAULT;;;
81012-6;B01N0382YY;Knusperhäuschen milder Früchtetee 6x15 Pyramiden Teebeutel;6x15 Pyramidenteebeutel a 4,5 gr. gefüllt mit Früchtetee aromatisiert;1110Q3SAVZI;30;0;10/11/2016 13:19:03 MET;3;.;11;;;737069840642;0;DEFAULT;;;
81059;B004VLW6QU;"CHA CULT - Teekanne ""Nandina"" ORIENTALISCHE Teekanne";;1207NPUOJAI;27. Sep;0;07/12/2013 11:24:25 MET;1;.;11;;;B004VLW6QU;0;DEFAULT;;;
83223;B009SKXU0K;"Cha Cult Tea-for-One ""Melly / Sophie"" weiß - Bone China";;0224O6IQ636;39.5;0;24/02/2014 10:27:58 MET;1;.;11;;;B009SKXU0K;0;DEFAULT;;;
83451;B003GBBR48;Tea-For-One Set Afrika;;1207NPSBYGC;18. Mai;0;07/12/2013 10:47:36 MET;1;.;11;;;B003GBBR48;0;DEFAULT;;;
84327-250;B007VM8FNY;New Earl Grey of Grey Schwarzer Tee 250g;Schwarzer Tee mit echten Bergamotte Ecken.;0419M172ZKI;10. Sep;0;19/04/2012 11:49:44 MEST;4;.;11;;;4004986577569;0;DEFAULT;;;
88-248;B00X5IKHVQ;Bancha Hoshino - Grüner Tee aus Japan im Originalgebinde - 100g;Grüner Bancha Tee. Herkunft: Japan, südliche Insel Kyushu. Präfektur: Fukuoka. Region: Yame/Hoshino. Grüner Tee Hoshino Bancha - ein sehr angenehmer, milder, weicher und hochwertiger Bancha Tee im 100g Originalgebinde.;0505PRSSEQU;Aug 95;0;05/05/2015 10:21:35 MEST;3;.;11;;;737069840413;0;DEFAULT;;;
89057-100;B007VM8DC2;Birnengarten Früchte Tee 100g;Früchteteemischung mit Birnen-Geschmack;0419M172QL6;04. Apr;0;19/04/2012 11:49:20 MEST;4;;11;;;4004986577071;0;DEFAULT;;;
894095;B006YVJXKW;Pflege Deine Stimme Bio Tee Ayurvitaler Kräutertee;100g;0117MH01BSO;Mrz 95;9;17/01/2012 20:03:22 MET;4;;11;;;4004986402885;0;DEFAULT;;;
89517-500;B007VM8E58;Bananentee Karibikzauber Früchtetee - 500gr;Mit erfrischend fruchtigem Ananas- Bananengeschmack.;0419M172U76;17. Mai;0;19/04/2012 11:49:30 MEST;4;;11;;;4004986577156;0;DEFAULT;;;
92643;B007GKYIYQ;Weißer Tee Himbeer Ingwer 100g;Weisser Tee mit Himbeer-Ingwer-Geschmack;0303MJQW7CO;04. Sep;0;03/03/2012 12:31:54 MET;4;;11;;;4030683006507;0;DEFAULT;;;
93889;B006XBWOQ8;FLORAGOLD Pyramidenbeutel Bio FT Maracuja Orange, 1er Pack (1 x 67.5 g);15 Pyramidenteebeutel a 4,5 gr. gefüllt mit Früchtetee aromatisiert;0114MEY5LWU;05. Apr;7;14/01/2012 11:33:37 MET;4;.;11;;;4030683002189;0;DEFAULT;;;
93893;B006XBWNDW;FLORAGOLD Pyramidenbeutel grüner Tee Bio Japan Sencha, 1er Pack (1 x 38 g);15 Pyramidenteebeutel a 2,5 gr. gefüllt mit Grüntee;0114MEY5J0O;05. Apr;12;14/01/2012 11:33:34 MET;4;.;11;;;4030683002158;0;DEFAULT;;;
93903;B006XBWTD6;FLORAGOLD Pyramidenbeutel Früchtetee Weihnachtsfrüchte, 1er Pack (1 x 75 g);15 Pyramidenteebeutel a 5 gr. gefüllt mit Früchtetee aromatisiert;0114MEY5UQC;05. Apr;0;14/01/2012 11:33:48 MET;4;.;11;;;4030683002202;0;DEFAULT;;;
93962;B006XBXYCQ;FLORAGOLD Pyramidenbeutel Bio KT Kamillenblüten, 1er Pack (1 x 26.25 g);15 Pyramidenteebeutel a 1,75 gr. gefüllt mit Kräutertee (Kamillenblüten ganz);0114MEY794I;05. Apr;10;14/01/2012 11:35:36 MET;4;.;11;;;4030683002295;0;DEFAULT;;;
93963;B006XBWRG0;FLORAGOLD Pyramidenbeutel Bio KT Pfefferminzblätter geschnitten, 1er Pack (1 x 30 g);15 Pyramidenteebeutel a 2 gr. gefüllt mit Bio-Pfefferminzblätter, geschnitten;0114MEY5RCO;05. Apr;9;14/01/2012 11:33:43 MET;4;.;11;;;4030683002301;0;DEFAULT;;;
93969;B006WYOXO2;"FLORAGOLD Pyramidenbeutel Grüner Tee Bio China ""Nebeltee"", 45 g";15 Pyramidenteebeutel a 3 gr. gefüllt mit Grüntee;0113MDIWXFU;05. Apr;9;13/01/2012 12:14:36 MET;4;;11;;;4030683002110;0;DEFAULT;;;
93973;B006XBYPWE;FLORAGOLD Pyramidenbeutel Kräutertee Bio Traumfigur, 1er Pack (1 x 38 g);15 Pyramidenteebeutel a 2,5 gr. gefüllt mit Kräutertee aromatisiert;0114MEY7W5O;05. Apr;15;14/01/2012 11:37:25 MET;4;.;11;;;4030683002349;0;DEFAULT;;;
9H-PY1P-WHTS;B07F1N8KXT;Brasil Doce Diamantina - 1000g Röstkaffee in Bohnen;Im Herzen Brasiliens liegt eine Landschaft von ganz besonderem Wert – die Cerrado Savanne. Dort, auf einer Anbauhöhe von 800-1100 m, gedeiht dieser „süße Diamant“, wie der Doce Diamantina übersetzt heißt. Der Brasil Doce Diamantina wird in Cerrado angebaut, der savannenartigen Region Zentral Brasiliens, südwestlichen im Bundesstaat Minas Gerais. Hier arbeiten Kooperativen und Farmer eng zusammen um durch strenge Kontrollen, ständige Überwachung eine konstante Spitzenqualität zu gewährleisten. Besonderer Wert wird auf nachhaltige Verarbeitungsschritte gelegt und so profitieren Umwelt und Menschen gleichermaßen von den gemeinsam unternommenen Anstrengungen. Dieser „süße Diamant“ wird trocken aufbereitet, das heißt, die Kaffeekirschen werden von der Sonne getrocknet und erst im Anschluss vom nun trockenen Fruchtfleisch befreit und gereinigt. Der hochwertige Arabica besticht so durch seine ausgeprägte Süße. Seine besondere Bekömmlichkeit wird dadurch erreicht, dass er besonders säurearm ist. Tassenprofil Intensive Aromen von Schokolade, Karamell bis hin zu einer leichten Marzipan-Note. Der Kaffee verfügt über einen mittleren Körper. Region:Cerrado Höhe:800 bis 1.000m Varietäten:Castillo, Caturra, Bourbon Screen:17/18 NY2 Ernte:September bis Dezember;0626U4NXHSC;25. Sep;0;26/06/2018 10:27:39 MEST;3;;11;;;737069841335;0;DEFAULT;;;
B00JV1FYBE;B00JV1FYBE;Creano Thermo-Glas Hummi, doppelwandiges Tee-Glas, Latte Macchiato, Thermobecher Kolibri | 250ml in exklusiver Geschenkbox, rot;;1103PUHB2ZU;12;0;03/11/2015 13:40:56 MET;1;;11;;;B00JV1FYBE;0;DEFAULT;;;
BK114;B00NTXJC86;Becks Cocoa Trinkschokolade Sinnerman Zimt Dose 250 g;Sinnerman - natürlich, echter Ceylonzimt (auch Javazimt genannt), ein wenig davon in der Mischung, Kardamon für die Tiefe, echt klassisch. Beschreibung: Criollo Edelkakao mit Javazimt. Geschmackston: Zimtnote vorherrschend, Kardamom für das Volumen. Geruchston: herrlich schokoladige Zimtnote. Inhaltsstoffe: Min. 50% Criollo Edelkakao schwach entölt, Zucker, Javazimt, Meersalz.;1210O3U5VNU;08. Sep;9;10/12/2014 13:13:05 MET;1;.;11;;;B00NTXJC86;0;DEFAULT;;;
C00ALL;B00LFPT1CC;Creano doppelwandige Tee-Gläser, Cappuccino-Glas, Thermoglas Hummi im Kolibri Design, 250 ml in exklusiver Geschenkbox, blau / rot / grün;;1103PUGUKHC;35;0;03/11/2015 13:36:29 MET;1;.;11;;;B00LFPT1CC;0;DEFAULT;;;
C0165;B00JV1FYBE;Creano Thermo-Glas Hummi, doppelwandiges Tee-Glas, Latte Macchiato, Thermobecher Kolibri | 250ml in exklusiver Geschenkbox, rot;;1107PBHKYPC;12;0;07/11/2015 14:50:29 MET;1;.;11;;;B00JV1FYBE;0;DEFAULT;;;
C0166;B00JV1G1U2;Creano doppelwandiges Tee-Glas, Latte Machiato, Thermobecher Kolibri | 250ml in exklusiver Geschenkbox, blau;;1103PUH55BC;12. Sep;0;03/11/2015 13:39:06 MET;1;.;11;;;B00JV1G1U2;0;DEFAULT;;;
C0179;B018EARM08;Creano XXL Teeblumen Set ErblühTeelini-Jumbo in 3 verschiedenen Sorten (Weißer Tee);;1121Q8C9YIC;14. Sep;0;21/11/2016 11:45:05 MET;1;;11;;;B018EARM08;0;DEFAULT;;;
C0196;B018UAYV2Y;Creano Teeblumen-Mix in XXL-Größe, Geschenkset mit Jumbo-Glaskanne 1,5l (inklusive Edelstahlfilter) | Weißtee (3 verschiedene Sorten);;1121Q8BXGPU;39.9;0;21/11/2016 11:43:45 MET;1;;11;;;B018UAYV2Y;0;DEFAULT;;;
CN-GOWU-TD80;B07YB4V655;Adventskalender mit Tee - Motiv Weihnachten klassisch;Teeadventskalender Motiv klassisch- Enthält: 24 Pyramidenbeutel (je 2 Beutel in zwölf verschiedenen köstlichen Geschmacksrichtungen). Spitzenqualität, mit Schutzverpackung. Tee Adventskalender. Teekollektion – Teeadventskalender - Das ideale Geschenk für Teetrinker - Mit ausklappbaren Aufstellfüßen und Öse. Zum Aufstellen und zum Aufhängen an der Wand. 2 x 12 Sorten in einzeln kuvertieren Pyramidenbeuteln. Im Tee-Adventskalender sind folgende Teesorten enthalten: (diese finden Sie auch als lose Tee oder Pyramidenbeutel in unserem Onlineshop). 2 x folgende 12 Sorten: 1. FT Knusperhäuschen, 2. FT Weihnachtsfrüchte, 3. KT Vanille Lemongras, 4. ST Darjeeling Royal Garden, 5. GT Bio Japan Sencha, 6. RB Mond und Sterne, 7. GT Tee der langen Freundschaft, 8. RB Kokos Ingwer, 9. KT Bio Relaxing Herbs, 10. FT Glücksbringer, 11. KT Chai Zanzibar, 12. ST Bio Vanille.;0924VJABHB7;21. Sep;0;24/09/2019 12:51:46 MEST;3;;11;;;758913511624;0;DEFAULT;;;
