Händler-SKU;ASIN 1;Artikelbezeichnung;Artikelbeschreibung;Angebotsnummer;Preis;Menge;Erstellungsdatum;Produkt-ID-Typ;Anmerkung zum Artikel;Artikelzustand;Internationaler Versand;Expressversand;Produkt-ID;Anzahl Bestellungen;Versender;Standardpreis;Produktsteuerschlüssel;Nettopreis
03560;B0051M3AEK;Monbana Schokoladenpulver 1kg Dose (mind. 32% Kakao), 1er Pack (1 x 1 kg);;0325OJ69M5C;17. Sep;5;25/03/2014 10:07:17 MET;1;;11;;;B0051M3AEK;0;DEFAULT;;;
03561;B00Q8M6PNA;Monbana Supreme Chocolate Powder 32% Kakaopulver 1000g;Die Trinkschokoladen von Monbana sind eine besondere Spezialität aus dem Hause des französischen Chocolatier. Supreme Chocolate Powder Kakaopulver (1000g Dose) - ein ganz besonderer Schokoladengenuss. -Supreme Chocolate Powder- Kakaopulver wird durch die Zubereitung mit heißer Milch zu einem dickflüßigen, cremigen Schokoladengetränk wie in Spanien oder Italien schon lange bekannt und beliebt. Für die Gourmets ein ganz besonderes Geschmackserlebnis.;1127OX5QWAI;17.88;1;27/11/2014 12:38:57 MET;3;.;11;;;612524280044;0;DEFAULT;;;
03807;B0060K8OSO;Monbana Trinkschokolade Tresor au Chocolat Blanc Dose 200 g;;0318OZTGQFI;Jun 65;6;18/03/2014 11:14:45 MET;1;.;11;;;B0060K8OSO;0;DEFAULT;;;
0580;B003FVYSFE;Bio Japan Matcha Tee - 30g Dose;;0111MBATCE0;20.95;5;11/01/2012 13:46:24 MET;1;.;11;;;B003FVYSFE;0;DEFAULT;;;
07-ICX4-9I58;B006XBWNDW;FLORAGOLD Pyramidenbeutel grüner Tee Bio Japan Sencha, 1er Pack (1 x 38 g);;1204V9V6K11;05. Apr;12;04/12/2019 09:06:56 MET;1;;11;;;B006XBWNDW;0;DEFAULT;;;
0T-PEYN-O5VK;B00H26AT2Y;1kg - frischer Röstkaffee - Café Cult - Indonesien - Java - West Blue - ganze Bohnen;;0615UOEXDLV;25. Sep;4;15/06/2018 12:34:23 MEST;1;;11;;;B00H26AT2Y;0;DEFAULT;;;
0U-IAT5-1PE2;B082HWVTTJ;Bio MyCocoa 100% Lagencacao von Dominikanischen Kleinbauern - 200g Beutel;Bio und veganer MyCocoa 100% Lagencacao von Dominikanischen Kleinbauern im 200g Beutel. Fair gehandelter Kakao. Aus biologischer Landwirtschaft. Die Bio Kakaobohnen „Hispaniola“ kommen von der Kleinbauern-Kooperative Conacado, 1989 gegründet. Der Kooperative gehören etwa 10.000 Kakao-Kleinproduzenten an, ¼ des Landes, von denen die meisten Flächen von 1 bis 3 ha bewirtschaften. Der Kakao wird traditionell in Mischkultur mit anderen Pflanzen wie Maniok, Kochbananen, Bohnen und Obst angebaut. Die Kakaobauern liefern den Kakao nach der Ernte zu den Sammelstellen, wo der Kakao fermentiert und getrocknet wird. Durch die gemeinsame Vermarktung kann Conacado den beteiligten Kakaobauern höhere Preise zahlen und die Lebensbedingungen dadurch verbessern. Gleichzeitig wird die Ernte vorfinanziert, so dass das Risiko der Kakaobauern reduziert wird. Aus biologischer Landwirtschaft. AT-BIO-301 / Nicht EU-Landwirtschaft.;1209VMYIWGR;09. Sep;12;09/12/2019 12:03:41 MET;4;;11;;;9120047791080;0;DEFAULT;;;
10250;B000LFA4MI;mono 10/250 Ersatzglas Teekanne FILIO und CLASSIC 1.5l;;0502MH6MZEO;36;4;02/05/2012 11:32:33 MEST;1;;11;;;B000LFA4MI;0;DEFAULT;;;
1050-6erPack;B00IJHZGFA;Bengal Spice Retail 6 Pack;;0306OXFEX8C;19;4;06/03/2014 12:03:04 MET;1;;11;;;B00IJHZGFA;0;DEFAULT;;;
1050T;B01N016PVS;Bengal Spice - 20 Teebeutel Kräutertee - Celestial Seasonings Tea;Randvoll mit Zimt, Ingwer, Kardamom und Gewürznelken: eine Tasse aromatischen Bengal Spice Tee ist wie eine Reise in einen exotischen Gewürzmarkt in einem fernen Land. Diese abenteuerliche Mischung ist unser koffeinfreie Interpretation (auf Kräuterbasis ohne schwarzen Tee) des Chai Tees. Versuchen Sie Bengal Spice mit Milch und Zucker für eine echte Chai Erfahrung. Zutaten: Zimt, geröstete Zichorienwurzel, geröstetes Johannisbrot, natürliche Gewürz- und Vanillearomen mit anderen natürlichen Aromen, Datteln, Ingwerwurzel, Kardamom, schwarzer Pfeffer, Nelken und Muskatnuss. Allergene: Allergene werden in der Zutatenliste in FETTSCHRIFT und UNTERSTRICHEN dargestellt.;1105Q4PZQ60;Mrz 99;30;05/11/2016 14:00:33 MET;3;;11;;;737069840628;0;DEFAULT;;;
